iter	Passed	Remaining
939	7977	76894
940	7985	76875
941	7993	76861
942	8000	76842
943	8006	76808
944	8012	76779
945	8019	76756
946	8026	76730
947	8034	76717
948	8045	76737
949	8053	76719
950	8060	76701
951	8070	76702
952	8078	76692
953	8085	76666
954	8093	76655
955	8100	76631
956	8107	76610
957	8114	76591
958	8122	76571
959	8129	76552
960	8136	76529
961	8142	76502
962	8150	76484
963	8157	76461
964	8163	76436
965	8174	76443
966	8180	76413
967	8186	76383
968	8193	76360
969	8200	76343
970	8208	76328
971	8215	76301
972	8223	76289
973	8229	76260
974	8236	76240
975	8244	76224
976	8251	76207
977	8260	76199
978	8274	76249
979	8281	76223
980	8289	76211
981	8297	76196
982	8303	76168
983	8310	76147
984	8317	76126
985	8325	76109
986	8332	76090
987	8339	76072
988	8347	76058
989	8355	76046
990	8365	76048
991	8374	76043
992	8382	76029
993	8388	76006
994	8396	75987
995	8403	75964
996	8409	75940
997	8417	75924
998	8424	75901
999	8431	75883
1000	8438	75862
1001	8445	75838
1002	8452	75819
1003	8463	75836
1004	8471	75823
1005	8479	75814
1006	8488	75803
1007	8497	75800
1008	8505	75788
1009	8514	75786
1010	8521	75769
1011	8532	75781
1012	8540	75768
1013	8547	75746
1014	8555	75731
1015	8565	75739
1016	8572	75717
1017	8579	75702
1018	8586	75680
1019	8594	75667
1020	8602	75655
1021	8609	75630
1022	8616	75614
1023	8624	75598
1024	8632	75587
1025	8641	75582
1026	8649	75571
1027	8658	75569
1028	8667	75562
1029	8674	75542
1030	8680	75516
1031	8688	75498
1032	8695	75480
1033	8702	75463
1034	8710	75448
1035	8717	75424
1036	8725	75415
1037	8732	75398
1038	8741	75390
1039	8748	75375
1040	8763	75424
1041	8772	75415
1042	8779	75400
1043	8787	75381
1044	8794	75367
1045	8801	75342
1046	8809	75328
1047	8815	75299
1048	8822	75285
1049	8829	75264
1050	8837	75245
1051	8844	75227
1052	8850	75200
1053	8858	75191
1054	8867	75184
1055	8874	75167
1056	8881	75145
1057	8889	75129
1058	8896	75112
1059	8903	75092
1060	8910	75073
1061	8917	75051
1062	8925	75040
1063	8932	75022
1064	8939	74998
1065	8945	74974
1066	8957	74992
1067	8966	74985
1068	8974	74978
1069	8983	74971
1070	8992	74968
1071	9003	74982
1072	9011	74972
1073	9021	74974
1074	9030	74973
1075	9038	74961
1076	9045	74945
1077	9056	74954
1078	9063	74936
1079	9070	74919
1080	9077	74897
1081	9086	74891
1082	9094	74883
1083	9102	74871
1084	9110	74858
1085	9118	74845
1086	9127	74844
1087	9135	74828
1088	9143	74815
1089	9151	74809
1090	9160	74800
1091	9167	74781
1092	9174	74765
1093	9181	74744
1094	9188	74723
1095	9197	74721
1096	9206	74714
1097	9213	74700
1098	9221	74682
1099	9228	74668
1100	9235	74651
1101	9243	74639
1102	9253	74641
1103	9260	74618
1104	9267	74604
1105	9275	74586
1106	9282	74568
1107	9289	74549
1108	9295	74522
1109	9302	74501
1110	9309	74484
1111	9316	74468
1112	9324	74454
1113	9330	74429
1114	9336	74402
1115	9346	74400
1116	9353	74383
1117	9360	74367
1118	9367	74346
1119	9373	74322
1120	9381	74303
1121	9388	74287
1122	9394	74264
1123	9401	74245
1124	9408	74223
1125	9415	74205
1126	9422	74186
1127	9432	74187
1128	9440	74179
1129	9453	74206
1130	9460	74187
1131	9467	74170
1132	9476	74162
1133	9483	74143
1134	9490	74126
1135	9498	74111
1136	9505	74095
1137	9512	74079
1138	9519	74056
1139	9526	74037
1140	9533	74022
1141	9546	74045
1142	9553	74026
1143	9559	74005
1144	9567	73990
1145	9574	73974
1146	9581	73951
1147	9589	73940
1148	9595	73919
1149	9603	73903
1150	9609	73877
1151	9616	73862
1152	9624	73846
1153	9631	73830
1154	9642	73845
1155	9650	73830
1156	9658	73817
1157	9664	73796
1158	9673	73793
1159	9681	73783
1160	9689	73771
1161	9698	73762
1162	9705	73750
1163	9713	73733
1164	9720	73714
1165	9727	73699
1166	9734	73676
1167	9747	73703
1168	9754	73686
1169	9768	73723
1170	9782	73760
1171	9798	73807
1172	9817	73879
